bin,name,map_pluto_bbl,construction_year,feature_code,last_status_type,height_roof,borough_nta,nta_name,nta_key,the_geom,doitt_id,shape_area,base_bbl,objectid,geometry_source,ground_elevation,last_edited_date,length
3366656,,3064610188,1.94,5.11,Constructed,"8,07",Brooklyn,Bath Beach,bathbeach,"MULTIPOLYGON (((-74.012466021545 40.60438471769, -74.012486492915 40.604361117287, -74.012544227552 40.604390208668, -74.012523755011 40.604413809082, -74.012466021545 40.60438471769)))",904339,"31,96484375",3064610188,42.219,Photogrammetric,23.0,2017 Aug 17 04:44:56 PM,"23,71397375014"
1004895,,1003930038,1.92,2.1,Constructed,"53,84",Manhattan,East Village,eastvillage,"MULTIPOLYGON (((-73.977544127444 40.726112615066, -73.977583838596 40.726056756114, -73.977612627626 40.726068601609, -73.977773365874 40.726134737324, -73.977733656018 40.726190597242, -73.977601678327 40.726136294358, -73.977544127444 40.726112615066)))",329520,"223,75",1003930038,600.345,Photogrammetric,10.0,2017 Aug 22 06:46:32 PM,"66,65490949611"
3103157,,3047050031,1.935,2.1,Constructed,"29,06294299",Brooklyn,East Flatbush-Rugby,eastflatbushrugby,"MULTIPOLYGON (((-73.922850855332 40.651121490115, -73.923048837808 40.651111041659, -73.92305329085 40.651159981484, -73.922855307048 40.651170429947, -73.922850855332 40.651121490115)))",7203,"159,01953125",3047050031,372.261,Photogrammetric,26.0,2017 Aug 22 03:35:47 PM,"58,5809255174"
1091774,,1003930059,2.023,2.1,Constructed,75,Manhattan,East Village,eastvillage,"MULTIPOLYGON (((-73.979232276834 40.726680804181, -73.979386524852 40.726745584803, -73.979289118218 40.72687710649, -73.97913562077 40.726811311901, -73.979232276834 40.726680804181)))",1300615,"433,2421875",1003930059,1.087.553,Other (Manual),12.0,2023 Sep 14 06:08:49 PM,"83,40060953862"
3422634,,3048760056,1.92,5.11,Constructed,"10,20409432",Brooklyn,East Flatbush-Rugby,eastflatbushrugby,"MULTIPOLYGON (((-73.940613352455 40.652348771137, -73.940651941051 40.652346658629, -73.940655729133 40.65238680476, -73.940617140515 40.65238891727, -73.940613352455 40.652348771137)))",1187648,"25,43359375",3048760056,381.549,Photogrammetric,48.0,2017 Aug 17 05:16:11 PM,"20,42498509437"
4108534,,4047980023,1.92,2.1,Alteration,"30,63",Queens,Murray Hill-Broadway Flushing,murrayhillbroadwayflushing,"MULTIPOLYGON (((-73.820994673628 40.770596784209, -73.821115372709 40.770577374863, -73.821167675069 40.770779118809, -73.821044842822 40.770797046267, -73.820994673628 40.770596784209)))",825982,"416,1328125",4047980023,434.561,Photogrammetric,58.0,2022 Nov 09 05:08:41 PM,"87,84289422154"
3344489,,3072200090,1.949,2.1,Constructed,"23,27911072",Brooklyn,Gravesend (South),gravesendsouth,"MULTIPOLYGON (((-73.964869312787 40.58695532274, -73.964923098935 40.586949415526, -73.96494730577 40.586946757363, -73.964949672257 40.586959280767, -73.964966247109 40.587046999526, -73.964888254011 40.587055564915, -73.964869312787 40.58695532274)))",44119,"130,22265625",3072200090,921.820,Photogrammetric,7.0,2017 Aug 22 03:43:29 PM,"47,23396168197"
5016818,,5006700074,1.96,2.1,Constructed,"15,83",Staten Island,Westerleigh-Castleton Corners,westerleighcastletoncorners,"MULTIPOLYGON (((-74.105670725555 40.613362717065, -74.105755642613 40.613332255359, -74.105799368316 40.613403043869, -74.105686155305 40.613443657096, -74.105644796224 40.613458494294, -74.105601069465 40.613387704825, -74.105670725555 40.613362717065)))",695784,"218,1953125",5006700074,569.003,Photogrammetric,142.0,2017 Aug 22 06:12:01 PM,"60,99353023612"
4009444,,4006330056,1.92,2.1,Constructed,30,Queens,Astoria (Central),astoriacentral,"MULTIPOLYGON (((-73.914970084341 40.76819755301, -73.915000775664 40.768159194367, -73.915018525694 40.768167403849, -73.915059086218 40.768186162444, -73.915084191968 40.76819777404, -73.915074010971 40.768210498764, -73.915094136774 40.7682198068, -73.915112921414 40.768228494297, -73.915142976375 40.768242395006, -73.915171556417 40.76825561294, -73.91515104733 40.768281246898, -73.915130013577 40.76827151947, -73.915092411128 40.768254128245, -73.915075135742 40.768246138847, -73.915025095857 40.768222995917, -73.914989169626 40.768206380328, -73.914970084341 40.76819755301)))",192029,"127,77734375",4006330056,1.072.373,Other (Manual),52.0,2018 Dec 07 06:34:13 PM,"60,39245372433"
2072941,,2053250002,1.975,2.1,Constructed,"27,44501365",Bronx,Pelham Bay-Country Club-City Island,pelhambaycountryclubcityisland,"MULTIPOLYGON (((-73.820555186372 40.836482431532, -73.820506085113 40.836494322718, -73.820483577496 40.836499773509, -73.820419139253 40.836346290838, -73.820441648009 40.836340840061, -73.820440087067 40.836337121284, -73.820433708988 40.836321930795, -73.82051162706 40.836303061521, -73.820563655593 40.836426986771, -73.820584003368 40.836475452495, -73.820555186372 40.836482431532)))",251212,"304,70703125",2053250002,85.255,Photogrammetric,22.0,2017 Aug 22 05:51:20 PM,"76,7037310548"
4520128,,4015990044,1.93,2.1,Constructed,"20,77",Queens,Elmhurst,elmhurst,"MULTIPOLYGON (((-73.868342480066 40.745994546454, -73.86854058392 40.74593606233, -73.868540669215 40.745936039464, -73.868566577567 40.745986801383, -73.868338466811 40.746054144669, -73.868323524443 40.746000142152, -73.868342480066 40.745994546454)))",971817,"212,70703125",4015990044,774.165,Photogrammetric,42.0,2017 Aug 22 06:31:40 PM,"69,30197815466"
4024257,,4011030031,1.93,2.1,Constructed,"28,65",Queens,East Elmhurst,eastelmhurst,"MULTIPOLYGON (((-73.876733158165 40.764544559684, -73.876902570715 40.764531841981, -73.876907950511 40.764573274566, -73.876718329772 40.764587508719, -73.876712950092 40.764546077025, -73.876733158165 40.764544559684)))",330906,"129,7890625",4011030031,465.624,Photogrammetric,49.0,2017 Aug 22 07:13:09 PM,"54,66162348998"
4450768,,4065420003,1.951,2.1,Constructed,"27,26",Queens,Kew Gardens Hills,kewgardenshills,"MULTIPOLYGON (((-73.817075232073 40.733073154674, -73.81709059908 40.732985172216, -73.817083228385 40.732984427493, -73.817085459405 40.732971654597, -73.817177048683 40.732980911404, -73.817159451968 40.733081665873, -73.817075232073 40.733073154674)))",152054,"142,78515625",4065420003,121.479,Photogrammetric,82.0,2017 Aug 22 05:50:56 PM,"50,43325062708"
3014234,,3008150008,1.899,2.1,Constructed,"34,3",Brooklyn,Sunset Park (West),sunsetparkwest,"MULTIPOLYGON (((-74.014181111815 40.644463337728, -74.01422605461 40.644420101896, -74.014317605459 40.644475318417, -74.01436029432 40.644501064314, -74.014315350375 40.644544300198, -74.014247652868 40.644503470104, -74.014181111815 40.644463337728)))",193431,"154,2109375",3008150008,753.821,Photogrammetric,81.0,2017 Aug 22 03:34:40 PM,"54,33586025002"
2050142,,2043540009,1.95,2.1,Constructed,"30,12",Bronx,Allerton,allerton,"MULTIPOLYGON (((-73.862362607031 40.859836135878, -73.862411570583 40.859836450017, -73.862609872793 40.859837723686, -73.862609558261 40.859865966324, -73.862567960038 40.859865698864, -73.86256772996 40.859886353161, -73.862451988354 40.859885609208, -73.862362062253 40.859885031912, -73.862362607031 40.859836135878)))",490809,"184,04296875",2043540009,219.460,Photogrammetric,86.0,2017 Aug 22 06:57:41 PM,"69,44739215999"
4590686,,4103170015,1.92,5.11,Constructed,"11,99",Queens,Jamaica,jamaica,"MULTIPOLYGON (((-73.782719298367 40.707580973649, -73.782791202597 40.707563899625, -73.782805657212 40.707599149609, -73.782733752947 40.707616223643, -73.782719298367 40.707580973649)))",1175312,"45,46484375",4103170015,145.973,Photogrammetric,54.0,2017 Aug 17 04:26:15 PM,"27,6172988037"
